Date,Open,High,Low,Close,Adj Close,Volume
1998-08-06,531.630005,537.510010,529.049988,536.690002,536.690002,768400000
1998-08-07,536.690002,542.489990,532.979980,535.280029,535.280029,759100000
1998-08-10,535.280029,538.219971,531.679993,532.450012,532.450012,579180000
1998-08-11,532.450012,532.450012,518.640015,526.239990,526.239990,774400000
1998-08-12,526.239990,533.809998,526.239990,533.549988,533.549988,711700000
1998-08-13,533.549988,537.359985,528.599976,528.599976,528.599976,660700000
1998-08-14,528.599976,533.130005,519.739990,522.770020,522.770020,644030000
1998-08-17,522.770020,534.049988,519.210022,534.049988,534.049988,584380000
1998-08-18,534.049988,543.989990,534.049988,543.539978,543.539978,690600000
1998-08-19,543.539978,546.159973,540.450012,542.169983,542.169983,633630000
1998-08-20,542.169983,542.169983,537.380005,538.539978,538.539978,621630000
1998-08-21,538.539978,538.539978,520.429993,534.190002,534.190002,725700000
1998-08-24,534.190002,539.549988,533.380005,537.690002,537.690002,558100000
1998-08-25,537.690002,547.409973,536.710022,540.770020,540.770020,664900000
1998-08-26,540.770020,541.380005,532.239990,536.789978,536.789978,674100000
1998-08-27,536.789978,536.789978,512.739990,515.900024,515.900024,938600000
1998-08-28,515.900024,520.440002,504.809998,507.670013,507.670013,840300000
1998-08-31,507.670013,510.820007,470.910004,470.910004,470.910004,917500000
1998-09-01,470.910004,494.989990,462.660004,491.059998,491.059998,1216600000
1998-09-02,491.059998,498.170013,484.589996,486.010010,486.010010,894600000
1998-09-03,486.010010,486.010010,474.779999,481.329987,481.329987,880500000
1998-09-04,481.329987,486.170013,467.660004,477.440002,477.440002,780300000
1998-09-08,477.440002,500.239990,477.440002,500.220001,500.220001,814800000
1998-09-09,500.220001,502.630005,491.519989,492.480011,492.480011,704300000
1998-09-10,492.480011,492.480011,472.309998,478.799988,478.799988,880300000
1998-09-11,478.799988,492.989990,474.170013,492.989990,492.989990,819100000
1998-09-14,492.989990,506.220001,492.989990,501.660004,501.660004,714400000
1998-09-15,501.660004,504.910004,497.739990,504.730011,504.730011,724600000
1998-09-16,504.730011,508.690002,500.220001,507.980011,507.980011,797500000
1998-09-17,507.980011,507.980011,493.980011,494.350006,494.350006,694500000
1998-09-18,494.350006,496.329987,490.549988,495.250000,495.250000,794700000
1998-09-21,495.250000,498.160004,481.600006,497.309998,497.309998,609880000
1998-09-22,497.309998,501.899994,494.369995,497.660004,497.660004,694900000
1998-09-23,497.660004,515.450012,497.660004,515.450012,515.450012,899700000
1998-09-24,515.450012,516.640015,499.549988,504.660004,504.660004,805900000
1998-09-25,504.660004,509.839996,497.619995,506.269989,506.269989,736800000
1998-09-28,506.269989,514.039978,504.850006,508.230011,508.230011,690500000
1998-09-29,508.230011,512.869995,504.559998,508.910004,508.910004,760100000
1998-09-30,508.910004,508.910004,492.500000,493.100006,493.100006,800100000
1998-10-01,493.100006,493.100006,475.649994,478.750000,478.750000,899700000
1998-10-02,478.750000,488.609985,470.589996,486.489990,486.489990,902900000
1998-10-05,486.489990,486.489990,468.649994,480.709991,480.709991,817500000
1998-10-06,480.709991,491.160004,476.459991,480.190002,480.190002,845700000
1998-10-07,480.190002,486.890015,470.380005,476.829987,476.829987,977000000
1998-10-08,476.829987,476.829987,454.929993,471.839996,471.839996,1114600000
1998-10-09,471.839996,483.779999,468.859985,483.720001,483.720001,878100000
1998-10-12,483.720001,496.250000,483.720001,490.200012,490.200012,691100000
1998-10-13,490.200012,492.179993,484.390015,487.779999,487.779999,733300000
1998-10-14,487.779999,496.660004,483.899994,491.769989,491.769989,791200000
1998-10-15,491.769989,517.510010,489.640015,514.179993,514.179993,937600000
1998-10-16,514.179993,522.590027,514.179993,520.950012,520.950012,1042200000
1998-10-19,520.950012,523.900024,518.320007,522.409973,522.409973,738600000
1998-10-20,522.409973,532.770020,520.460022,522.280029,522.280029,958200000
1998-10-21,522.280029,527.630005,520.219971,525.780029,525.780029,745100000
1998-10-22,525.780029,531.869995,521.369995,530.909973,530.909973,754900000
1998-10-23,530.909973,530.909973,525.659973,527.780029,527.780029,637640000
1998-10-26,527.780029,532.849976,526.109985,527.799988,527.799988,609910000
